Artist;ArtistBio;Nationality;Gender;BeginDate;EndDate
Jean (Hans) Arp;French, born Germany (Alsace). 1886–1966;French;Male;1886;1966
Alice Adams;American, born 1930;American;Female;1930;0
Jankel Adler;Polish, 1895–1949;Polish;Male;1895;1949
Virginia Admiral;American, 1915–2000;American;Female;1915;2000
Afro (Afro Basaldella);Italian, 1912–1976;Italian;Male;1912;1976
Ivan Le Lorraine Albright;American, 1897–1983;American;Male;1897;1983
Gregory Amenoff;American, born 1948;American;Male;1948;0
John Anderson;British, born 1928;British;Male;1928;0
Carl Andre;American, born 1935;American;Male;1935;0
Raúl Anguiano;Mexican, 1915–2006;Mexican;Male;1915;2006
Richard Anuszkiewicz;American, born 1930;American;Male;1930;0
Karel Appel;Dutch, 1921–2006;Dutch;Male;1921;2006
Aleksandr Archipenko;American, 1887–1964;American;Male;1887;1964
Gonzalo Ariza;Colombian, 1912–1995;Colombian;Male;1912;1995
Kenneth Armitage;British, 1916–2002;British;Male;1916;2002
John Atherton;American, 1900–1952;American;Male;1900;1952
Frank Auerbach;British, born Germany 1931. To England 1939.;British;Male;1931;0
George Ault;American, 1891–1948;American;Male;1891;1948
Darrel Austin;American, 1907–1994;American;Male;1907;1994
Milton Avery;American, 1885–1965;American;Male;1885;1965
Alice Aycock;American, born 1946;American;Female;1946;0
Alice Baber;American, 1928–1982;American;Female;1928;1982
Edmondo Bacci;Italian, 1913–1978;Italian;Male;1913;1978
Francis Bacon;British, born Ireland. 1909–1992;British;Male;1909;1992
Mowry Thatcher Baden;American, born 1936;American;Male;1936;0
Jo Baer;American, born 1929;American;Female;1929;0
Olle Baertling;Swedish, 1911–1981;Swedish;Male;1911;1981
Eugenie Baizerman;American, born Poland. 1899–1949;American;Female;1899;1949
Giacomo Balla;Italian, 1871–1958;Italian;Male;1871;1958
Balthus (Baltusz Klossowski de Rola);French, 1908–2001;French;Male;1908;2001
Walter Darby Bannard;American, 1934–2016;American;Male;1934;2016
Ernst Barlach;German, 1870–1938;German;Male;1870;1938
Matthew Rackham Barnes;American, born Scotland.1880–1951;American;Male;1880;1951
Robert Bart;American, born Canada 1923;American;Male;1923;0
Robert Bartlett;British, 1922–1979;British;Male;1922;1979
Gianfranco Baruchello;Italian, born 1924;Italian;Male;1924;0
Georg Baselitz;German, born 1938;German;Male;1938;0
Leonard Baskin;American, 1922–2000;American;Male;1922;2000
André Bauchant;French, 1873–1958;French;Male;1873;1958
Jean Bazaine;French, 1904–2001;French;Male;1904;2001
William Baziotes;American, 1912–1963;American;Male;1912;1963
Robert Beauchamp;American, 1923–1995;American;Male;1923;1995
Max Beckmann;German, 1884–1950;German;Male;1884;1950
Rudolf Belling;German, 1886–1972;German;Male;1886;1972
Ahron Ben-Shmuel;American, 1903–1984;American;Male;1903;1984
Christian Bérard;French, 1902–1949;French;Male;1902;1949
Eugene Berman;American, born Russia. 1899–1972;American;Male;1899;1972
Cundo Bermúdez;Cuban, 1914–2008;Cuban;Male;1914;2008
Émile Bernard;French, 1868–1941;French;Male;1868;1941
Antonio Berni;Argentine, 1905–1981;Argentine;Male;1905;1981
Jake Berthot;American, 1939–2014;American;Male;1939;2014
Max Bill;Swiss, 1908–1994;Swiss;Male;1908;1994
Elmer Bischoff;American, 1916–1991;American;Male;1916;1991
James Bishop;American, born 1927;American;Male;1927;0
Julius Bissier;German, 1893–1965;German;Male;1893;1965
Tom Blackwell;American, born 1938;American;Male;1938;0
Arbit Blatas;American, born Lithuania. 1908–1999;American;Male;1908;1999
Ross Bleckner;American, born 1949;American;Male;1949;0
Albert Bloch;American, 1882–1961;American;Male;1882;1961
