Title;Artist;Date;Medium;Classification;Department;DateAcquired
Daylight Savings Time;Pierre Roy;1929;Oil on canvas;Painting;Painting & Sculpture;19.01.1931
The Bather;Paul Cézanne;c. 1885;Oil on canvas;Painting;Painting & Sculpture;23.09.1934
Syntheses of Naples;Enrico Prampolini;before 1930;Oil on canvas;Painting;Painting & Sculpture;10.12.1941
Two Rabbis;Jankel Adler;1942;Oil on canvas;Painting;Painting & Sculpture;03.02.1949
Simultaneous Contrasts: Sun and Moon;Robert Delaunay;Paris 1913 (dated on painting 1912);Oil on canvas;Painting;Painting & Sculpture;12.01.1954
The Flame and the Diver;Jean Bazaine;1953;Oil on canvas;Painting;Painting & Sculpture;27.02.1957
Girl Wading;Elmer Bischoff;1959;Oil on canvas;Painting;Painting & Sculpture;10.02.1960
Painting, 4;Vasudeo S. Gaitonde;1962;Oil on canvas;Painting;Painting & Sculpture;08.01.1963
Plums on a Plate;Preston Dickinson;1926;Oil on canvas;Painting;Painting & Sculpture;11.03.1931
Composition in White, Black, and Red;Piet Mondrian;Paris 1936;Oil on canvas;Painting;Painting & Sculpture;15.01.1937
Girl before a Mirror;Pablo Picasso;Paris, March 14, 1932;Oil on canvas;Painting;Painting & Sculpture;17.12.1937
Woman with a Mandolin;Georges Braque;1937;Oil on canvas;Painting;Painting & Sculpture;17.03.1948
The Fitting;Francisco Borès;1934;Oil on canvas;Painting;Painting & Sculpture;03.02.1949
Chief;Franz Kline;1950;Oil on canvas;Painting;Painting & Sculpture;22.01.1951
Panel for Edwin R. Campbell No. 3;Vasily Kandinsky;1914;Oil on canvas;Painting;Painting & Sculpture;12.01.1954
Portrait of Jacob Meyer de Haan;Paul Gauguin;1889;Oil on wood;Painting;Painting & Sculpture;19.02.1958
Plumb Line in Yellow;Jean McEwen;1961;Oil on canvas;Painting;Painting & Sculpture;09.01.1962
House by the Railroad;Edward Hopper;1925;Oil on canvas;Painting;Painting & Sculpture;12.01.1930
Near Avenue A;Niles Spencer;1933;Oil on canvas;Painting;Painting & Sculpture;03.12.1937
Self-Portrait with Cropped Hair;Frida Kahlo;1940;Oil on canvas;Painting;Painting & Sculpture;18.02.1943
Panel for Edwin R. Campbell No. 1;Vasily Kandinsky;1914;Oil on canvas;Painting;Painting & Sculpture;12.01.1954
Generative Painting: Black, Red, Orange;Eduardo A. MacEntyre;1965;Oil on canvas;Painting;Painting & Sculpture;09.02.1967
Seated Nude;Bernard Karfiol;1929;Oil on canvas;Painting;Painting & Sculpture;12.01.1930
The Verdigris Goblet;Emilio Pettoruti;1934;Oil on canvas;Painting;Painting & Sculpture;18.02.1943
Red Votive Lights;Loren MacIver;1943;Oil on wood;Painting;Painting & Sculpture;03.01.1945
I See Again in Memory My Dear Udnie;Francis Picabia;Paris, June - July 1914;Oil on canvas;Painting;Painting & Sculpture;12.01.1954
Divided Hour;Antonio Corpora;1958;Oil on canvas;Painting;Painting & Sculpture;10.02.1960
Self-Portrait;Vincent Canadé;c. 1926;Oil on canvas;Painting;Painting & Sculpture;14.01.1936
Enamored Tomcat;Leonardo Cremonini;1952;Oil on canvas;Painting;Painting & Sculpture;06.04.1955
Big Red;Sam Francis;Paris 1953;Oil on canvas;Painting;Painting & Sculpture;19.02.1958
The New Rich;Antonio Ruiz;1941;Oil on canvas;Painting;Painting & Sculpture;18.02.1943
The Angel Kidnappers;Julio Castellanos;1943;Oil on canvas;Painting;Painting & Sculpture;14.03.1944
Execution (First Version);Balcomb Greene;1948;Oil on canvas;Painting;Painting & Sculpture;06.01.1950
L'Estaque;André Derain;1906;Oil on canvas;Painting;Painting & Sculpture;30.01.1951
Blast, I;Adolph Gottlieb;1957;Oil on canvas;Painting;Painting & Sculpture;19.02.1958
Shinnecock Canal;Grace Hartigan;1957;Oil on canvas;Painting;Painting & Sculpture;10.02.1960
Shimmering Substance;Jackson Pollock;1946;Oil on canvas;Painting;Painting & Sculpture;10.01.1968
The Bride;Hyman Bloom;1941;Oil on canvas;Painting;Painting & Sculpture;27.01.1942
Still Life;Henri Matisse;Paris, early 1899;Oil on canvas;Painting;Painting & Sculpture;03.02.1949
Rainbow Rampage;Lee Gatch;1950;Oil on canvas;Painting;Painting & Sculpture;30.01.1951
Street Light;Giacomo Balla;c. 1910-11 (dated on painting 1909);Oil on canvas;Painting;Painting & Sculpture;06.04.1954
Painting;Philip Guston;1954;Oil on canvas;Painting;Painting & Sculpture;06.06.1956
The Mosque;Ibrahim El-Salahi;1964;Oil on canvas;Painting;Painting & Sculpture;12.01.1965
Soda;Georges Braque;Paris, spring 1912;Oil on canvas;Painting;Painting & Sculpture;27.01.1942
The Red Studio;Henri Matisse;Issy-les-Moulineaux, fall 1911;Oil on canvas;Painting;Painting & Sculpture;03.02.1949
Family Portrait, II;Florine Stettheimer;1933;Oil on canvas;Painting;Painting & Sculpture;09.10.1956
Visa;Stuart Davis;1951;Oil on canvas;Painting;Painting & Sculpture;30.01.1953
Running White;Ellsworth Kelly;1959;Oil on canvas;Painting;Painting & Sculpture;10.02.1960
Number 1;Max Schnitzler;1955;Oil on canvas;Painting;Painting & Sculpture;10.01.1961
Trouble in Frisco;Fletcher Martin;1938;Oil on canvas;Painting;Painting & Sculpture;06.01.1939
The Park;Gustav Klimt;1910 or earlier;Oil on canvas;Painting;Painting & Sculpture;27.02.1957
Seamstress;Raphael Soyer;1956-60;Oil on canvas;Painting;Painting & Sculpture;10.01.1961
South Truro Church;Morris Kantor;1934;Oil on canvas;Painting;Painting & Sculpture;09.01.1936
Still Life I;Joan Miró;Montroig and Paris 1922-23;Oil on canvas;Painting;Painting & Sculpture;06.01.1939
River Bathers;Grace Hartigan;1953;Oil on canvas;Painting;Painting & Sculpture;06.04.1954
Exit the Ballets Russes;Fernand Léger;1914;Oil on canvas;Painting;Painting & Sculpture;19.02.1958
Still Life II;Joan Miró;Montroig and Paris 1922-23;Oil on canvas;Painting;Painting & Sculpture;06.01.1939
Three Children;Arbit Blatas;1938;Oil on canvas;Painting;Painting & Sculpture;05.04.1940
Napoleon in the Wilderness;Max Ernst;1941;Oil on canvas;Painting;Painting & Sculpture;27.01.1942
The Farm;Rafael Moreno;1943;Oil on canvas;Painting;Painting & Sculpture;14.03.1944
Tower and Tank;Herman Rose;1947;Oil on canvas;Painting;Painting & Sculpture;03.02.1949
Street, Dresden;Ernst Ludwig Kirchner;"1908 (reworked 1919: dated on painting 1907)";Oil on canvas;Painting;Painting & Sculpture;30.01.1951
Pierrot;Pablo Picasso;Paris, 1918;Oil on canvas;Painting;Painting & Sculpture;22.01.1952
Reclining Nude;Amedeo Modigliani;c. 1919;Oil on canvas;Painting;Painting & Sculpture;06.01.1950
Night Fishing at Antibes;Pablo Picasso;Antibes, August 1939;Oil on canvas;Painting;Painting & Sculpture;22.01.1952
Apples in the Hay;Walt Kuhn;1932;Oil on canvas;Painting;Painting & Sculpture;15.01.1936
